Id,Name,Age,Nationality,Team,Contract,Height,Weight,Preferred Foot,Overall,Potential,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Total Stats,Base Stats,International Reputation
182521,T. Kroos,31,Germany,Real Madrid CF,"
2014 ~ 2023",183cm,76kg,Right,88,88,88,CM,0,"Jul 17, 2014",N/A,€75M,€310K,2148,445,4 
176580,L. Suárez,34,Uruguay,Atlético de Madrid,"
2020 ~ 2022",182cm,83kg,Right,88,88,88,ST,0,"Sep 25, 2020",N/A,€44.5M,€135K,2307,457,5 
155862,Sergio Ramos,35,Spain,Paris Saint-Germain,"
2021 ~ 2023",184cm,82kg,Right,88,88,88,CB,0,"Jul 8, 2021",N/A,€24M,€115K,2251,461,4 
239818,Rúben Dias,24,Portugal,Manchester City,"
2020 ~ 2026",187cm,82kg,Right,87,91,89,CB,4,"Sep 29, 2020",N/A,€102.5M,€170K,1886,407,3 
233049,J. Sancho,21,England,Manchester United,"
2021 ~ 2026",180cm,76kg,Right,87,91,88,CAM,4,"Jul 23, 2021",N/A,€116.5M,€150K,2007,431,3 
231281,T. Alexander-Arnold,22,England,Liverpool,"
2015 ~ 2025",180cm,69kg,Right,87,92,87,RB,5,"Oct 7, 2015",N/A,€114M,€150K,2227,467,3 
228702,F. de Jong,24,Netherlands,FC Barcelona,"
2019 ~ 2026",180cm,74kg,Right,87,92,89,CM,5,"Jul 1, 2019",N/A,€119.5M,€210K,2229,478,3 
216267,A. Robertson,27,Scotland,Liverpool,"
2017 ~ 2024",178cm,64kg,Left,87,88,87,LB,1,"Jul 21, 2017",N/A,€83.5M,€175K,2142,464,3 
211110,P. Dybala,27,Argentina,Juventus,"
2015 ~ 2022",177cm,75kg,Left,87,88,89,CAM,1,"Jul 1, 2015",N/A,€93M,€160K,2134,447,3 
209658,L. Goretzka,26,Germany,FC Bayern München,"
2018 ~ 2022",189cm,82kg,Right,87,88,87,CM,1,"Jul 1, 2018",N/A,€93M,€140K,2314,496,4 
207865,Marquinhos,27,Brazil,Paris Saint-Germain,"
2013 ~ 2024",183cm,75kg,Right,87,90,89,CB,3,"Jul 19, 2013",N/A,€90.5M,€135K,2074,452,3 
199556,M. Verratti,28,Italy,Paris Saint-Germain,"
2012 ~ 2024",165cm,60kg,Right,87,87,87,CM,0,"Jul 18, 2012",N/A,€79.5M,€155K,2202,449,3 
195864,P. Pogba,28,France,Manchester United,"
2016 ~ 2022",191cm,84kg,Right,87,87,87,CM,0,"Aug 9, 2016",N/A,€79.5M,€220K,2222,472,4 
192387,C. Immobile,31,Italy,Lazio,"
2016 ~ 2025",185cm,85kg,Right,87,87,87,ST,0,"Jul 27, 2016",N/A,€67.5M,€125K,2065,437,4 
189596,T. Müller,31,Germany,FC Bayern München,"
2008 ~ 2023",185cm,76kg,Right,87,87,87,CAM,0,"Aug 10, 2008",N/A,€66M,€140K,2136,440,4 
186153,W. Szczęsny,31,Poland,Juventus,"
2017 ~ 2024",195cm,90kg,Right,87,87,87,GK,0,"Jul 19, 2017",N/A,€42M,€105K,1317,465,3 
183898,Á. Di María,33,Argentina,Paris Saint-Germain,"
2015 ~ 2022",180cm,69kg,Left,87,87,87,RW,0,"Aug 6, 2015",N/A,€49.5M,€160K,2177,455,4 
177003,L. Modrić,35,Croatia,Real Madrid CF,"
2012 ~ 2022",172cm,66kg,Right,87,87,87,CM,0,"Aug 1, 2012",N/A,€32M,€190K,2253,464,4 
167948,H. Lloris,34,France,Tottenham Hotspur,"
2012 ~ 2022",188cm,82kg,Left,87,87,87,GK,0,"Aug 31, 2012",N/A,€13.5M,€125K,1372,472,4 
153079,S. Agüero,33,Argentina,FC Barcelona,"
2021 ~ 2023",173cm,70kg,Right,87,87,87,ST,0,"Jul 1, 2021",N/A,€51M,€260K,2068,424,4 
232363,M. Škriniar,26,Slovakia,Inter,"
2017 ~ 2023",188cm,80kg,Right,86,88,87,CB,2,"Jul 7, 2017",N/A,€74M,€150K,1829,413,3 
231866,Rodri,25,Spain,Manchester City,"
2019 ~ 2024",191cm,82kg,Right,86,89,86,CDM,3,"Jul 4, 2019",N/A,€81M,€175K,2098,449,3 
226161,Marcos Llorente,26,Spain,Atlético de Madrid,"
2019 ~ 2024",184cm,74kg,Right,86,89,87,CAM,3,"Jul 1, 2019",N/A,€88M,€95K,2252,491,3 
218667,Bernardo Silva,26,Portugal,Manchester City,"
2017 ~ 2025",173cm,64kg,Left,86,87,86,CAM,1,"Jul 1, 2017",N/A,€80M,€200K,2128,451,2 
213345,K. Coman,25,France,FC Bayern München,"
2015 ~ 2023",180cm,76kg,Right,86,87,86,LM,1,"Aug 30, 2015",N/A,€81M,€120K,1974,426,4 
212218,A. Laporte,27,Spain,Manchester City,"
2018 ~ 2024",191cm,85kg,Left,86,89,88,CB,3,"Jan 30, 2018",N/A,€77M,€185K,1976,419,3 
210514,João Cancelo,27,Portugal,Manchester City,"
2019 ~ 2025",182cm,74kg,Right,86,87,86,RB,1,"Aug 7, 2019",N/A,€71.5M,€185K,2227,475,3 
209499,Fabinho,27,Brazil,Liverpool,"
2018 ~ 2026",188cm,78kg,Right,86,88,86,CDM,2,"Jul 1, 2018",N/A,€73.5M,€165K,2163,459,3 
208830,J. Vardy,34,England,Leicester City,"
2012 ~ 2023",179cm,74kg,Right,86,86,86,ST,0,"May 1, 2012",N/A,€33M,€180K,2135,444,3 
208093,Gerard Moreno,29,Spain,Villarreal CF,"
2018 ~ 2027",180cm,77kg,Left,86,86,86,ST,0,"Jul 2, 2018",N/A,€68M,€73K,2118,445,2 
204485,R. Mahrez,30,Algeria,Manchester City,"
2018 ~ 2023",179cm,67kg,Left,86,86,86,RW,0,"Jul 10, 2018",N/A,€65.5M,€220K,2032,429,3 
201535,R. Varane,28,France,Manchester United,"
2021 ~ 2025",191cm,81kg,Right,86,88,87,CB,2,"Jul 27, 2021",N/A,€68.5M,€180K,1931,427,3 
201024,K. Koulibaly,30,Senegal,Napoli,"
2014 ~ 2023",187cm,89kg,Right,86,86,86,CB,0,"Jul 1, 2014",N/A,€55.5M,€105K,1705,397,3 
198219,L. Insigne,30,Italy,Napoli,"
2010 ~ 2022",163cm,59kg,Right,86,86,86,LW,0,"Jul 1, 2010",N/A,€65.5M,€125K,2016,421,4 
192984,K. Casteels,29,Belgium,VfL Wolfsburg,"
2015 ~ 2024",197cm,86kg,Left,86,87,86,GK,1,"Jan 21, 2015",N/A,€52M,€88K,1309,464,3 
189513,Parejo,32,Spain,Villarreal CF,"
2020 ~ 2024",182cm,74kg,Right,86,86,86,CM,0,"Aug 12, 2020",N/A,€53.5M,€64K,2167,444,2 
189511,Sergio Busquets,32,Spain,FC Barcelona,"
2008 ~ 2023",189cm,76kg,Right,86,86,86,CDM,0,"Sep 1, 2008",N/A,€45M,€200K,2012,420,4 
189509,Thiago,30,Spain,Liverpool,"
2020 ~ 2024",174cm,70kg,Right,86,86,86,CM,0,"Sep 18, 2020",N/A,€65M,€180K,2199,447,3 
189332,Jordi Alba,32,Spain,FC Barcelona,"
2012 ~ 2024",170cm,68kg,Left,86,86,86,LB,0,"Jul 1, 2012",N/A,€47M,€200K,2215,467,3 
178603,M. Hummels,32,Germany,Borussia Dortmund,"
2019 ~ 2022",191cm,96kg,Right,86,86,86,CB,0,"Jul 1, 2019",N/A,€44M,€95K,2043,430,4 
162835,S. Handanovič,36,Slovenia,Inter,"
2012 ~ 2022",193cm,92kg,Right,86,86,86,GK,0,"Jul 1, 2012",N/A,€7.5M,€78K,1289,454,3 
138956,G. Chiellini,36,Italy,Juventus,"
2005 ~ 2023",187cm,85kg,Left,86,86,86,CB,0,"Jul 1, 2005",N/A,€12M,€88K,1851,406,4 
235243,M. de Ligt,21,Netherlands,Juventus,"
2019 ~ 2024",189cm,89kg,Right,85,91,87,CB,6,"Jul 18, 2019",N/A,€78.5M,€81K,1975,431,3 
235212,A. Hakimi,22,Morocco,Paris Saint-Germain,"
2021 ~ 2026",181cm,73kg,Right,85,88,85,RB,3,"Jul 6, 2021",N/A,€69.5M,€100K,2188,482,2 
231677,M. Rashford,23,England,Manchester United,"
2014 ~ 2023",186cm,70kg,Right,85,89,86,CAM,4,"Jul 1, 2014",N/A,€77.5M,€150K,2146,458,3 
231478,L. Martínez,23,Argentina,Inter,"
2018 ~ 2023",174cm,72kg,Right,85,90,87,ST,5,"Jul 5, 2018",N/A,€82.5M,€145K,2145,454,3 
230142,Oyarzabal,24,Spain,Real Sociedad,"
2014 ~ 2024",181cm,79kg,Left,85,89,85,LW,4,"Jul 1, 2014",N/A,€77.5M,€57K,2056,433,2 
226790,W. Ndidi,24,Nigeria,Leicester City,"
2017 ~ 2024",183cm,74kg,Right,85,88,86,CB,3,"Jan 5, 2017",N/A,€66.5M,€120K,2113,442,1 
223848,S. Milinković-Savić,26,Serbia,Lazio,"
2015 ~ 2024",191cm,76kg,Right,85,88,87,CM,3,"Aug 6, 2015",N/A,€70M,€100K,2227,473,3 
206113,S. Gnabry,25,Germany,FC Bayern München,"
2017 ~ 2023",176cm,77kg,Right,85,86,85,RM,1,"Jul 1, 2017",N/A,€64.5M,€110K,2080,444,4 
205498,Jorginho,29,Italy,Chelsea,"
2018 ~ 2023",180cm,68kg,Right,85,85,85,CM,0,"Jul 16, 2018",N/A,€52.5M,€170K,2133,435,2 
204963,Carvajal,29,Spain,Real Madrid CF,"
2013 ~ 2025",173cm,73kg,Right,85,85,85,RB,0,"Jul 5, 2013",N/A,€47.5M,€210K,2124,453,3 
202556,M. Depay,27,Netherlands,FC Barcelona,"
2021 ~ 2023",176cm,78kg,Right,85,86,85,CF,1,"Jul 1, 2021",N/A,€63M,€220K,2081,441,3 
201942,Roberto Firmino,29,Brazil,Liverpool,"
2015 ~ 2023",181cm,76kg,Right,85,85,85,CF,0,"Jul 6, 2015",N/A,€54M,€185K,2180,460,3 
198176,S. de Vrij,29,Netherlands,Inter,"
2018 ~ 2023",189cm,78kg,Right,85,85,85,CB,0,"Jul 1, 2018",N/A,€45M,€145K,1863,412,3 
194765,A. Griezmann,30,France,FC Barcelona,"
2019 ~ 2024",176cm,73kg,Left,85,85,86,CAM,0,"Jul 12, 2019",N/A,€53M,€220K,2259,459,4 
193747,Koke,29,Spain,Atlético de Madrid,"
2011 ~ 2024",176cm,75kg,Right,85,85,85,CM,0,"Jan 1, 2011",N/A,€52.5M,€90K,2227,470,3 
188567,P. Aubameyang,32,Gabon,Arsenal,"
2018 ~ 2023",187cm,80kg,Right,85,85,85,ST,0,"Jan 31, 2018",N/A,€43.5M,€145K,2049,432,3 
188377,K. Walker,31,England,Manchester City,"
2017 ~ 2024",183cm,83kg,Right,85,85,85,RB,0,"Jul 14, 2017",N/A,€39M,€170K,2194,471,3 
188350,M. Reus,32,Germany,Borussia Dortmund,"
2012 ~ 2023",180cm,71kg,Right,85,85,85,CAM,0,"Jul 1, 2012",N/A,€43M,€95K,2126,436,4 
186942,İ. Gündoğan,30,Germany,Manchester City,"
2016 ~ 2023",180cm,80kg,Right,85,85,85,CM,0,"Jul 1, 2016",N/A,€51.5M,€185K,2198,461,3 
185122,P. Gulácsi,31,Hungary,RB Leipzig,"
2015 ~ 2025",191cm,86kg,Right,85,85,85,GK,0,"Jul 1, 2015",N/A,€28.5M,€87K,1303,456,3 
184344,L. Bonucci,34,Italy,Juventus,"
2018 ~ 2024",190cm,85kg,Right,85,85,85,CB,0,"Aug 2, 2018",N/A,€17.5M,€110K,1975,428,3 
183277,E. Hazard,30,Belgium,Real Madrid CF,"
2019 ~ 2024",175cm,74kg,Right,85,85,85,LW,0,"Jul 1, 2019",N/A,€52M,€240K,2055,432,4 
179813,E. Cavani,34,Uruguay,Manchester United,"
2020 ~ 2022",185cm,77kg,Right,85,85,85,ST,0,"Oct 5, 2020",N/A,€26M,€190K,2093,427,4 
177683,Y. Sommer,32,Switzerland,Borussia Mönchengladbach,"
2014 ~ 2023",183cm,79kg,Right,85,85,85,GK,0,"Jul 1, 2014",N/A,€26.5M,€40K,1356,467,3 
168542,David Silva,35,Spain,Real Sociedad,"
2020 ~ 2022",173cm,67kg,Left,85,85,85,CAM,0,"Aug 17, 2020",N/A,€22M,€44K,2043,416,4 
164240,Thiago Silva,36,Brazil,Chelsea,"
2020 ~ 2022",183cm,79kg,Right,85,85,85,CB,0,"Aug 28, 2020",N/A,€9.5M,€105K,2022,414,4 
163587,K. Schmeichel,34,Denmark,Leicester City,"
2011 ~ 2023",189cm,89kg,Right,85,85,85,GK,0,"Jun 1, 2011",N/A,€9M,€115K,1358,463,2 
143076,A. Gómez,33,Argentina,Sevilla FC,"
2021 ~ 2024",167cm,68kg,Right,85,85,85,CAM,0,"Jan 26, 2021",N/A,€33.5M,€51K,2060,430,3 
237692,P. Foden,21,England,Manchester City,"
2016 ~ 2024",171cm,69kg,Left,84,92,87,CAM,8,"Jul 1, 2016",N/A,€94.5M,€125K,2060,442,3 
235790,K. Havertz,22,Germany,Chelsea,"
2020 ~ 2025",188cm,82kg,Left,84,92,86,CAM,8,"Sep 4, 2020",N/A,€94.5M,€130K,2038,434,3 
232656,T. Hernández,23,France,AC Milan,"
2019 ~ 2024",184cm,81kg,Left,84,86,84,LB,2,"Jul 5, 2019",N/A,€50.5M,€51K,2185,480,3 
230938,F. Kessié,24,Côte d'Ivoire,AC Milan,"
2019 ~ 2022",183cm,88kg,Right,84,86,85,CDM,2,"Jul 1, 2019",N/A,€49.5M,€51K,2192,474,3 
228941,André Silva,25,Portugal,RB Leipzig,"
2021 ~ 2026",185cm,84kg,Right,84,85,85,ST,1,"Jul 2, 2021",N/A,€51M,€110K,2062,432,3 
224334,M. Acuña,29,Argentina,Sevilla FC,"
2020 ~ 2024",172cm,69kg,Left,84,84,84,LB,0,"Sep 14, 2020",N/A,€37M,€45K,2292,480,2 
224232,N. Barella,24,Italy,Inter,"
2020 ~ 2024",172cm,68kg,Right,84,89,87,CM,5,"Sep 1, 2020",N/A,€63.5M,€120K,2236,467,3 
222492,L. Sané,25,Germany,FC Bayern München,"
2020 ~ 2025",183cm,80kg,Left,84,87,85,ST,3,"Jul 15, 2020",N/A,€56M,€105K,2080,441,3 
216594,N. Fekir,27,France,Real Betis Balompié,"
2019 ~ 2023",173cm,75kg,Left,84,84,84,CAM,0,"Jul 23, 2019",N/A,€45M,€42K,2117,452,3 
216460,J. Giménez,26,Uruguay,Atlético de Madrid,"
2013 ~ 2025",185cm,79kg,Right,84,88,86,CB,4,"Jul 1, 2013",N/A,€52M,€74K,1791,395,2 
216393,Y. Tielemans,24,Belgium,Leicester City,"
2019 ~ 2023",176cm,72kg,Right,84,87,86,CM,3,"Jul 8, 2019",N/A,€57M,€125K,2187,451,2 
216352,M. Brozović,28,Croatia,Inter,"
2016 ~ 2022",181cm,68kg,Right,84,84,84,CDM,0,"Jul 1, 2016",N/A,€37M,€130K,2203,459,3 
215698,M. Maignan,25,France,AC Milan,"
2021 ~ 2026",191cm,89kg,Right,84,87,84,GK,3,"Jul 1, 2021",N/A,€43M,€45K,1456,469,2 
212188,T. Werner,25,Germany,Chelsea,"
2020 ~ 2025",180cm,76kg,Right,84,87,86,ST,3,"Jul 1, 2020",N/A,€56.5M,€155K,2012,430,3 
210243,Ricardo Pereira,27,Portugal,Leicester City,"
2018 ~ 2023",175cm,70kg,Right,84,84,84,RB,0,"Jun 9, 2018",N/A,€40.5M,€130K,2186,465,3 
209889,R. Guerreiro,27,Portugal,Borussia Dortmund,"
2016 ~ 2023",170cm,71kg,Left,84,84,84,LB,0,"Jul 1, 2016",N/A,€40.5M,€79K,2175,459,3 
208670,H. Ziyech,28,Morocco,Chelsea,"
2020 ~ 2025",181cm,65kg,Left,84,84,84,RW,0,"Jul 1, 2020",N/A,€42.5M,€170K,2087,440,3 
208574,F. Kostić,28,Serbia,Eintracht Frankfurt,"
2019 ~ 2023",184cm,82kg,Left,84,84,84,LM,0,"May 17, 2019",N/A,€42.5M,€52K,2227,478,3 
208418,Y. Carrasco,27,Belgium,Atlético de Madrid,"
2020 ~ 2024",185cm,73kg,Right,84,84,84,LM,0,"Sep 8, 2020",N/A,€45M,€81K,2087,445,3 
207863,Felipe,32,Brazil,Atlético de Madrid,"
2019 ~ 2022",190cm,84kg,Right,84,84,84,CB,0,"Jul 1, 2019",N/A,€27.5M,€74K,1798,390,3 
207862,M. Ginter,27,Germany,Borussia Mönchengladbach,"
2017 ~ 2022",191cm,86kg,Right,84,85,84,CB,1,"Jul 4, 2017",N/A,€42.5M,€45K,1961,422,3 
206517,J. Grealish,25,England,Manchester City,"
2021 ~ 2027",180cm,81kg,Right,84,87,87,CAM,3,"Aug 5, 2021",N/A,€56M,€180K,2022,437,3 
205988,L. Shaw,25,England,Manchester United,"
2014 ~ 2023",181cm,75kg,Left,84,86,84,LB,2,"Jun 27, 2014",N/A,€48.5M,€140K,2130,453,2 
204923,M. Sabitzer,27,Austria,RB Leipzig,"
2014 ~ 2022",178cm,76kg,Right,84,85,84,CM,1,"Jul 1, 2014",N/A,€48M,€110K,2229,468,3 
204639,S. Savić,30,Montenegro,Atlético de Madrid,"
2015 ~ 2024",187cm,80kg,Right,84,84,84,CB,0,"Jul 20, 2015",N/A,€34.5M,€74K,1730,375,2 
203263,H. Maguire,28,England,Manchester United,"
2019 ~ 2024",194cm,100kg,Right,84,86,86,CB,2,"Aug 5, 2019",N/A,€42.5M,€155K,1950,416,3 
202811,E. Martínez,28,Argentina,Aston Villa,"
2020 ~ 2024",195cm,88kg,Right,84,85,84,GK,1,"Sep 16, 2020",N/A,€33.5M,€81K,1449,476,3 
200647,J. Iličić,33,Slovenia,Atalanta,"
2017 ~ 2022",190cm,79kg,Left,84,84,85,CAM,0,"Jul 5, 2017",N/A,€27M,€84K,2056,438,3 
200458,L. Digne,27,France,Everton,"
2018 ~ 2023",178cm,74kg,Left,84,84,84,LB,0,"Aug 1, 2018",N/A,€40.5M,€110K,2227,464,2 
199451,W. Ben Yedder,30,France,AS Monaco,"
2019 ~ 2024",170cm,68kg,Right,84,84,85,CF,0,"Aug 14, 2019",N/A,€41.5M,€88K,2108,440,2 
199434,D. Tadić,32,Serbia,Ajax,"
2018 ~ 2024",181cm,76kg,Left,84,84,84,LW,0,"Jul 3, 2018",N/A,€33.5M,€32K,2109,439,3 
198706,Luis Alberto,28,Spain,Lazio,"
2016 ~ 2025",183cm,74kg,Right,84,84,84,CAM,0,"Aug 31, 2016",N/A,€42.5M,€95K,2028,428,2 
197445,D. Alaba,29,Austria,Real Madrid CF,"
2021 ~ 2026",180cm,78kg,Left,84,84,84,CB,0,"Jul 1, 2021",N/A,€35.5M,€195K,2247,467,4 
193080,De Gea,30,Spain,Manchester United,"
2011 ~ 2023",192cm,82kg,Right,84,84,84,GK,0,"Jul 1, 2011",N/A,€28M,€120K,1425,465,4 
192629,Iago Aspas,33,Spain,RC Celta de Vigo,"
2015 ~ 2023",176cm,67kg,Left,84,84,84,ST,0,"Jul 1, 2015",N/A,€27M,€46K,2071,430,2 
186345,K. Trippier,30,England,Atlético de Madrid,"
2019 ~ 2023",173cm,69kg,Right,84,84,84,RB,0,"Jul 17, 2019",N/A,€36.5M,€74K,2183,447,2 
184134,Fernando,33,Brazil,Sevilla FC,"
2019 ~ 2022",183cm,76kg,Right,84,84,84,CDM,0,"Jul 12, 2019",N/A,€21M,€43K,2046,441,2 
183711,J. Henderson,31,England,Liverpool,"
2011 ~ 2023",182cm,80kg,Right,84,84,84,CDM,0,"Jun 9, 2011",N/A,€29.5M,€140K,2198,460,3 
181291,G. Wijnaldum,30,Netherlands,Paris Saint-Germain,"
2021 ~ 2024",175cm,74kg,Right,84,84,84,CM,0,"Jul 1, 2021",N/A,€40.5M,€115K,2271,476,3 
175943,D. Mertens,34,Belgium,Napoli,"
2013 ~ 2022",169cm,61kg,Right,84,84,84,CF,0,"Jul 1, 2013",N/A,€20.5M,€105K,1996,418,3 
152729,Piqué,34,Spain,FC Barcelona,"
2008 ~ 2024",194cm,85kg,Right,84,84,84,CB,0,"Jul 1, 2008",N/A,€13.5M,€175K,1975,420,4 
146536,Jesús Navas,35,Spain,Sevilla FC,"
2017 ~ 2024",172cm,60kg,Right,84,84,84,RB,0,"Jul 28, 2017",N/A,€13M,€30K,2175,458,2 
41236,Z. Ibrahimović,39,Sweden,AC Milan,"
2020 ~ 2022",195cm,95kg,Right,84,84,84,ST,0,"Jan 2, 2020",N/A,€14.5M,€51K,2038,420,5 
242444,João Félix,21,Portugal,Atlético de Madrid,"
2019 ~ 2026",181cm,70kg,Right,83,91,84,CAM,8,"Jul 3, 2019",N/A,€82M,€61K,2065,431,2 
241486,J. Koundé,22,France,Sevilla FC,"
2019 ~ 2024",181cm,75kg,Right,83,89,84,CB,6,"Jul 3, 2019",N/A,€53M,€33K,1914,424,2 
239053,F. Valverde,22,Uruguay,Real Madrid CF,"
2016 ~ 2025",182cm,78kg,Right,83,89,84,CM,6,"Jul 22, 2016",N/A,€58M,€160K,2175,474,1 
235805,F. Chiesa,23,Italy,Juventus,"
Jun 1, 2022 On Loan",175cm,70kg,Right,83,89,85,CAM,6,"Jul 1, 2016","Jun 1, 2022",€57.5M,€74K,2052,453,3 
234642,É. Mendy,29,Senegal,Chelsea,"
2020 ~ 2025",197cm,86kg,Right,83,85,83,GK,2,"Sep 24, 2020",N/A,€30M,€105K,1168,442,2 
233064,M. Mount,22,England,Chelsea,"
2016 ~ 2024",178cm,70kg,Right,83,89,86,CAM,6,"Jan 10, 2016",N/A,€58.5M,€120K,2099,440,3 
231443,O. Dembélé,24,France,FC Barcelona,"
2017 ~ 2022",178cm,67kg,Left,83,88,85,LM,5,"Aug 28, 2017",N/A,€55M,€165K,1990,426,3 
230666,Gabriel Jesus,24,Brazil,Manchester City,"
2016 ~ 2023",175cm,73kg,Right,83,87,85,ST,4,"Aug 3, 2016",N/A,€52.5M,€150K,2062,436,2 
230658,Arthur,24,Brazil,Juventus,"
2020 ~ 2024",171cm,73kg,Right,83,86,85,CM,3,"Sep 1, 2020",N/A,€49.5M,€90K,2160,450,2 
230481,Ronaldo Cabrais,29,Brazil,Grêmio,"
2021 ~ 2024",177cm,75kg,Right,83,83,84,RM,0,"Jul 8, 2021",N/A,€35.5M,€49K,2098,439,1 
229880,A. Wan-Bissaka,23,England,Manchester United,"
2019 ~ 2024",183cm,72kg,Right,83,87,84,RWB,4,"Jun 29, 2019",N/A,€48.5M,€115K,2005,441,2 
228618,F. Mendy,26,France,Real Madrid CF,"
2019 ~ 2025",180cm,73kg,Left,83,86,84,LWB,3,"Jul 1, 2019",N/A,€43.5M,€170K,2148,474,1 
