Id,Name,Age,Nationality,Team,Height,Weight,Overall,Potential,Best position,Value,Wage,International Reputation
155862,Sergio Ramos,35,Spain,Paris Saint-Germain,184cm,82kg,88,88,CB,€24M,€115K,4 
239818,Rúben Dias,24,Portugal,Manchester City,187cm,82kg,87,91,CB,€102.5M,€170K,3 
233049,J. Sancho,21,England,Manchester United,180cm,76kg,87,91,CAM,€116.5M,€150K,3 
231281,T. Alexander-Arnold,22,England,Liverpool,180cm,69kg,87,92,RB,€114M,€150K,3 
228702,F. de Jong,24,Netherlands,FC Barcelona,180cm,74kg,87,92,CM,€119.5M,€210K,3 
216267,A. Robertson,27,Scotland,Liverpool,178cm,64kg,87,88,LB,€83.5M,€175K,3 
211110,P. Dybala,27,Argentina,Juventus,177cm,75kg,87,88,CAM,€93M,€160K,3 
209658,L. Goretzka,26,Germany,FC Bayern München,189cm,82kg,87,88,CM,€93M,€140K,4 
207865,Marquinhos,27,Brazil,Paris Saint-Germain,183cm,75kg,87,90,CB,€90.5M,€135K,3 
199556,M. Verratti,28,Italy,Paris Saint-Germain,165cm,60kg,87,87,CM,€79.5M,€155K,3 
195864,P. Pogba,28,France,Manchester United,191cm,84kg,87,87,CM,€79.5M,€220K,4 
192387,C. Immobile,31,Italy,Lazio,185cm,85kg,87,87,ST,€67.5M,€125K,4 
189596,T. Müller,31,Germany,FC Bayern München,185cm,76kg,87,87,CAM,€66M,€140K,4 
186153,W. Szczęsny,31,Poland,Juventus,195cm,90kg,87,87,GK,€42M,€105K,3 
183898,Á. Di María,33,Argentina,Paris Saint-Germain,180cm,69kg,87,87,RW,€49.5M,€160K,4 
177003,L. Modrić,35,Croatia,Real Madrid CF,172cm,66kg,87,87,CM,€32M,€190K,4 
167948,H. Lloris,34,France,Tottenham Hotspur,188cm,82kg,87,87,GK,€13.5M,€125K,4 
153079,S. Agüero,33,Argentina,FC Barcelona,173cm,70kg,87,87,ST,€51M,€260K,4 
232363,M. Škriniar,26,Slovakia,Inter,188cm,80kg,86,88,CB,€74M,€150K,3 
231866,Rodri,25,Spain,Manchester City,191cm,82kg,86,89,CDM,€81M,€175K,3 
226161,Marcos Llorente,26,Spain,Atlético de Madrid,184cm,74kg,86,89,CAM,€88M,€95K,3 
218667,Bernardo Silva,26,Portugal,Manchester City,173cm,64kg,86,87,CAM,€80M,€200K,2 
213345,K. Coman,25,France,FC Bayern München,180cm,76kg,86,87,LM,€81M,€120K,4 
212218,A. Laporte,27,Spain,Manchester City,191cm,85kg,86,89,CB,€77M,€185K,3 
210514,João Cancelo,27,Portugal,Manchester City,182cm,74kg,86,87,RB,€71.5M,€185K,3 
209499,Fabinho,27,Brazil,Liverpool,188cm,78kg,86,88,CDM,€73.5M,€165K,3 
208830,J. Vardy,34,England,Leicester City,179cm,74kg,86,86,ST,€33M,€180K,3 
208093,Gerard Moreno,29,Spain,Villarreal CF,180cm,77kg,86,86,ST,€68M,€73K,2 
204485,R. Mahrez,30,Algeria,Manchester City,179cm,67kg,86,86,RW,€65.5M,€220K,3 
201535,R. Varane,28,France,Manchester United,191cm,81kg,86,88,CB,€68.5M,€180K,3 
201024,K. Koulibaly,30,Senegal,Napoli,187cm,89kg,86,86,CB,€55.5M,€105K,3 
198219,L. Insigne,30,Italy,Napoli,163cm,59kg,86,86,LW,€65.5M,€125K,4 
192984,K. Casteels,29,Belgium,VfL Wolfsburg,197cm,86kg,86,87,GK,€52M,€88K,3 
189513,Parejo,32,Spain,Villarreal CF,182cm,74kg,86,86,CM,€53.5M,€64K,2 
189511,Sergio Busquets,32,Spain,FC Barcelona,189cm,76kg,86,86,CDM,€45M,€200K,4 
189509,Thiago,30,Spain,Liverpool,174cm,70kg,86,86,CM,€65M,€180K,3 
189332,Jordi Alba,32,Spain,FC Barcelona,170cm,68kg,86,86,LB,€47M,€200K,3 
178603,M. Hummels,32,Germany,Borussia Dortmund,191cm,96kg,86,86,CB,€44M,€95K,4 
162835,S. Handanovič,36,Slovenia,Inter,193cm,92kg,86,86,GK,€7.5M,€78K,3 
138956,G. Chiellini,36,Italy,Juventus,187cm,85kg,86,86,CB,€12M,€88K,4 
235243,M. de Ligt,21,Netherlands,Juventus,189cm,89kg,85,91,CB,€78.5M,€81K,3 
235212,A. Hakimi,22,Morocco,Paris Saint-Germain,181cm,73kg,85,88,RB,€69.5M,€100K,2 
231677,M. Rashford,23,England,Manchester United,186cm,70kg,85,89,CAM,€77.5M,€150K,3 
231478,L. Martínez,23,Argentina,Inter,174cm,72kg,85,90,ST,€82.5M,€145K,3 
230142,Oyarzabal,24,Spain,Real Sociedad,181cm,79kg,85,89,LW,€77.5M,€57K,2 
226790,W. Ndidi,24,Nigeria,Leicester City,183cm,74kg,85,88,CB,€66.5M,€120K,1 
223848,S. Milinković-Savić,26,Serbia,Lazio,191cm,76kg,85,88,CM,€70M,€100K,3 
206113,S. Gnabry,25,Germany,FC Bayern München,176cm,77kg,85,86,RM,€64.5M,€110K,4 
205498,Jorginho,29,Italy,Chelsea,180cm,68kg,85,85,CM,€52.5M,€170K,2 
204963,Carvajal,29,Spain,Real Madrid CF,173cm,73kg,85,85,RB,€47.5M,€210K,3 
202556,M. Depay,27,Netherlands,FC Barcelona,176cm,78kg,85,86,CF,€63M,€220K,3 
201942,Roberto Firmino,29,Brazil,Liverpool,181cm,76kg,85,85,CF,€54M,€185K,3 
198176,S. de Vrij,29,Netherlands,Inter,189cm,78kg,85,85,CB,€45M,€145K,3 
194765,A. Griezmann,30,France,FC Barcelona,176cm,73kg,85,85,CAM,€53M,€220K,4 
193747,Koke,29,Spain,Atlético de Madrid,176cm,75kg,85,85,CM,€52.5M,€90K,3 
188567,P. Aubameyang,32,Gabon,Arsenal,187cm,80kg,85,85,ST,€43.5M,€145K,3 
188377,K. Walker,31,England,Manchester City,183cm,83kg,85,85,RB,€39M,€170K,3 
188350,M. Reus,32,Germany,Borussia Dortmund,180cm,71kg,85,85,CAM,€43M,€95K,4 
186942,İ. Gündoğan,30,Germany,Manchester City,180cm,80kg,85,85,CM,€51.5M,€185K,3 
185122,P. Gulácsi,31,Hungary,RB Leipzig,191cm,86kg,85,85,GK,€28.5M,€87K,3 
184344,L. Bonucci,34,Italy,Juventus,190cm,85kg,85,85,CB,€17.5M,€110K,3 
183277,E. Hazard,30,Belgium,Real Madrid CF,175cm,74kg,85,85,LW,€52M,€240K,4 
179813,E. Cavani,34,Uruguay,Manchester United,185cm,77kg,85,85,ST,€26M,€190K,4 
177683,Y. Sommer,32,Switzerland,Borussia Mönchengladbach,183cm,79kg,85,85,GK,€26.5M,€40K,3 
168542,David Silva,35,Spain,Real Sociedad,173cm,67kg,85,85,CAM,€22M,€44K,4 
164240,Thiago Silva,36,Brazil,Chelsea,183cm,79kg,85,85,CB,€9.5M,€105K,4 
163587,K. Schmeichel,34,Denmark,Leicester City,189cm,89kg,85,85,GK,€9M,€115K,2 
143076,A. Gómez,33,Argentina,Sevilla FC,167cm,68kg,85,85,CAM,€33.5M,€51K,3 
237692,P. Foden,21,England,Manchester City,171cm,69kg,84,92,CAM,€94.5M,€125K,3 
235790,K. Havertz,22,Germany,Chelsea,188cm,82kg,84,92,CAM,€94.5M,€130K,3 
232656,T. Hernández,23,France,AC Milan,184cm,81kg,84,86,LB,€50.5M,€51K,3 
230938,F. Kessié,24,Côte d'Ivoire,AC Milan,183cm,88kg,84,86,CDM,€49.5M,€51K,3 
228941,André Silva,25,Portugal,RB Leipzig,185cm,84kg,84,85,ST,€51M,€110K,3 
224334,M. Acuña,29,Argentina,Sevilla FC,172cm,69kg,84,84,LB,€37M,€45K,2 
224232,N. Barella,24,Italy,Inter,172cm,68kg,84,89,CM,€63.5M,€120K,3 
222492,L. Sané,25,Germany,FC Bayern München,183cm,80kg,84,87,ST,€56M,€105K,3 
216594,N. Fekir,27,France,Real Betis Balompié,173cm,75kg,84,84,CAM,€45M,€42K,3 
216460,J. Giménez,26,Uruguay,Atlético de Madrid,185cm,79kg,84,88,CB,€52M,€74K,2 
216393,Y. Tielemans,24,Belgium,Leicester City,176cm,72kg,84,87,CM,€57M,€125K,2 
216352,M. Brozović,28,Croatia,Inter,181cm,68kg,84,84,CDM,€37M,€130K,3 
215698,M. Maignan,25,France,AC Milan,191cm,89kg,84,87,GK,€43M,€45K,2 
212188,T. Werner,25,Germany,Chelsea,180cm,76kg,84,87,ST,€56.5M,€155K,3 
210243,Ricardo Pereira,27,Portugal,Leicester City,175cm,70kg,84,84,RB,€40.5M,€130K,3 
209889,R. Guerreiro,27,Portugal,Borussia Dortmund,170cm,71kg,84,84,LB,€40.5M,€79K,3 
208670,H. Ziyech,28,Morocco,Chelsea,181cm,65kg,84,84,RW,€42.5M,€170K,3 
208574,F. Kostić,28,Serbia,Eintracht Frankfurt,184cm,82kg,84,84,LM,€42.5M,€52K,3 
208418,Y. Carrasco,27,Belgium,Atlético de Madrid,185cm,73kg,84,84,LM,€45M,€81K,3 
207863,Felipe,32,Brazil,Atlético de Madrid,190cm,84kg,84,84,CB,€27.5M,€74K,3 
207862,M. Ginter,27,Germany,Borussia Mönchengladbach,191cm,86kg,84,85,CB,€42.5M,€45K,3 
206517,J. Grealish,25,England,Manchester City,180cm,81kg,84,87,CAM,€56M,€180K,3 
205988,L. Shaw,25,England,Manchester United,181cm,75kg,84,86,LB,€48.5M,€140K,2 
204923,M. Sabitzer,27,Austria,RB Leipzig,178cm,76kg,84,85,CM,€48M,€110K,3 
204639,S. Savić,30,Montenegro,Atlético de Madrid,187cm,80kg,84,84,CB,€34.5M,€74K,2 
203263,H. Maguire,28,England,Manchester United,194cm,100kg,84,86,CB,€42.5M,€155K,3 
202811,E. Martínez,28,Argentina,Aston Villa,195cm,88kg,84,85,GK,€33.5M,€81K,3 
200647,J. Iličić,33,Slovenia,Atalanta,190cm,79kg,84,84,CAM,€27M,€84K,3 
200458,L. Digne,27,France,Everton,178cm,74kg,84,84,LB,€40.5M,€110K,2 
199451,W. Ben Yedder,30,France,AS Monaco,170cm,68kg,84,84,CF,€41.5M,€88K,2 
199434,D. Tadić,32,Serbia,Ajax,181cm,76kg,84,84,LW,€33.5M,€32K,3 
198706,Luis Alberto,28,Spain,Lazio,183cm,74kg,84,84,CAM,€42.5M,€95K,2 
197445,D. Alaba,29,Austria,Real Madrid CF,180cm,78kg,84,84,CB,€35.5M,€195K,4 
193080,De Gea,30,Spain,Manchester United,192cm,82kg,84,84,GK,€28M,€120K,4 
192629,Iago Aspas,33,Spain,RC Celta de Vigo,176cm,67kg,84,84,ST,€27M,€46K,2 
186345,K. Trippier,30,England,Atlético de Madrid,173cm,69kg,84,84,RB,€36.5M,€74K,2 
184134,Fernando,33,Brazil,Sevilla FC,183cm,76kg,84,84,CDM,€21M,€43K,2 
183711,J. Henderson,31,England,Liverpool,182cm,80kg,84,84,CDM,€29.5M,€140K,3 
181291,G. Wijnaldum,30,Netherlands,Paris Saint-Germain,175cm,74kg,84,84,CM,€40.5M,€115K,3 
175943,D. Mertens,34,Belgium,Napoli,169cm,61kg,84,84,CF,€20.5M,€105K,3 
152729,Piqué,34,Spain,FC Barcelona,194cm,85kg,84,84,CB,€13.5M,€175K,4 
146536,Jesús Navas,35,Spain,Sevilla FC,172cm,60kg,84,84,RB,€13M,€30K,2 
41236,Z. Ibrahimović,39,Sweden,AC Milan,195cm,95kg,84,84,ST,€14.5M,€51K,5 
242444,João Félix,21,Portugal,Atlético de Madrid,181cm,70kg,83,91,CAM,€82M,€61K,2 
241486,J. Koundé,22,France,Sevilla FC,181cm,75kg,83,89,CB,€53M,€33K,2 
239053,F. Valverde,22,Uruguay,Real Madrid CF,182cm,78kg,83,89,CM,€58M,€160K,1 
235805,F. Chiesa,23,Italy,Juventus,175cm,70kg,83,89,CAM,€57.5M,€74K,3 
234642,É. Mendy,29,Senegal,Chelsea,197cm,86kg,83,85,GK,€30M,€105K,2 
233064,M. Mount,22,England,Chelsea,178cm,70kg,83,89,CAM,€58.5M,€120K,3 
231443,O. Dembélé,24,France,FC Barcelona,178cm,67kg,83,88,LM,€55M,€165K,3 
230666,Gabriel Jesus,24,Brazil,Manchester City,175cm,73kg,83,87,ST,€52.5M,€150K,2 
230658,Arthur,24,Brazil,Juventus,171cm,73kg,83,86,CM,€49.5M,€90K,2 
230481,Ronaldo Cabrais,29,Brazil,Grêmio,177cm,75kg,83,83,RM,€35.5M,€49K,1 
229880,A. Wan-Bissaka,23,England,Manchester United,183cm,72kg,83,87,RWB,€48.5M,€115K,2 
228618,F. Mendy,26,France,Real Madrid CF,180cm,73kg,83,86,LWB,€43.5M,€170K,1 
225850,P. Kimpembe,25,France,Paris Saint-Germain,189cm,80kg,83,87,CB,€45.5M,€90K,3 
225193,Merino,25,Spain,Real Sociedad,189cm,83kg,83,87,CM,€50M,€47K,1 
223697,R. Gosens,26,Germany,Atalanta,183cm,76kg,83,83,LM,€39.5M,€71K,3 
223689,W. Weghorst,28,Netherlands,VfL Wolfsburg,197cm,84kg,83,83,ST,€37M,€95K,2 
220834,Marco Asensio,25,Spain,Real Madrid CF,182cm,76kg,83,86,CAM,€48M,€190K,3 
220814,L. Hernández,25,France,FC Bayern München,184cm,79kg,83,86,CB,€44.5M,€85K,3 
220651,Angeliño,24,Spain,RB Leipzig,175cm,69kg,83,86,LM,€46M,€77K,2 
216354,A. Kramarić,30,Croatia,TSG Hoffenheim,177cm,73kg,83,83,ST,€35.5M,€59K,3 
215333,D. Zapata,30,Colombia,Atalanta,189cm,88kg,83,83,ST,€35.5M,€77K,2 
214997,Á. Correa,26,Argentina,Atlético de Madrid,171cm,70kg,83,86,CAM,€48M,€80K,2 
213648,P. Højbjerg,25,Denmark,Tottenham Hotspur,185cm,84kg,83,87,CDM,€46M,€105K,2 
213565,T. Lemar,25,France,Atlético de Madrid,171cm,66kg,83,86,CAM,€48M,€71K,3 
211688,Gayà,26,Spain,Valencia CF,172cm,66kg,83,86,LWB,€43.5M,€48K,3 
209989,T. Partey,28,Ghana,Arsenal,185cm,77kg,83,83,CM,€36.5M,€115K,2 
207410,M. Kovačić,27,Croatia,Chelsea,176cm,80kg,83,84,CM,€41.5M,€135K,3 
205632,L. Ocampos,26,Argentina,Sevilla FC,188cm,84kg,83,83,LW,€39.5M,€46K,2 
205452,A. Rüdiger,28,Germany,Chelsea,190cm,85kg,83,84,CB,€34.5M,€130K,2 
204935,J. Pickford,27,England,Everton,185cm,77kg,83,85,GK,€33M,€83K,3 
204838,R. Jiménez,30,Mexico,Wolverhampton Wanderers,188cm,81kg,83,83,ST,€35.5M,€120K,3 
203841,N. Pope,29,England,Burnley,199cm,76kg,83,83,GK,€25M,€45K,1 
203574,J. Stones,27,England,Manchester City,188cm,76kg,83,86,CB,€41M,€140K,2 
202884,L. Spinazzola,28,Italy,Roma,186cm,75kg,83,83,LWB,€33M,€72K,3 
201399,M. Icardi,28,Argentina,Paris Saint-Germain,181cm,75kg,83,83,ST,€37M,€120K,3 
201153,Morata,28,Spain,Juventus,190cm,84kg,83,83,ST,€37M,€84K,3 
200610,K. Volland,28,Germany,AS Monaco,179cm,85kg,83,83,ST,€37M,€83K,2 
199914,Allan,30,Brazil,Everton,175cm,74kg,83,83,CDM,€30.5M,€100K,2 
199845,F. Acerbi,33,Italy,Lazio,192cm,88kg,83,83,CB,€17.5M,€75K,3 
197655,S. Coates,30,Uruguay,Sporting CP,196cm,92kg,83,83,CB,€30M,€21K,3 
197061,J. Matip,29,Cameroon,Liverpool,194cm,90kg,83,83,CB,€30.5M,€130K,2 
193082,J. Cuadrado,33,Colombia,Juventus,179cm,72kg,83,83,RB,€19M,€95K,3 
192883,H. Mkhitaryan,32,Armenia,Roma,177cm,75kg,83,83,CF,€29.5M,€82K,3 
192774,K. Manolas,30,Greece,Napoli,189cm,83kg,83,83,CB,€30M,€80K,3 
192563,B. Leno,29,Germany,Arsenal,190cm,82kg,83,84,GK,€28M,€87K,3 
191043,Alex Sandro,30,Brazil,Juventus,180cm,80kg,83,83,LB,€31.5M,€95K,3 
190941,L. Hrádecký,31,Finland,Bayer 04 Leverkusen,192cm,83kg,83,83,GK,€19M,€55K,3 
190286,Canales,30,Spain,Real Betis Balompié,176cm,65kg,83,83,CAM,€34.5M,€38K,2 
189575,Muniain,28,Spain,Athletic Club de Bilbao,170cm,66kg,83,83,CAM,€36.5M,€44K,2 
187961,Paulinho,32,Brazil,Al Ahli,183cm,80kg,83,83,CM,€28.5M,€61K,3 
184432,Azpilicueta,31,Spain,Chelsea,178cm,77kg,83,83,CB,€25M,€125K,3 
184087,T. Alderweireld,32,Belgium,,186cm,81kg,83,83,CB,€0,€0,3 
180930,E. Džeko,35,Bosnia and Herzegovina,Roma,193cm,80kg,83,83,ST,€15.5M,€62K,3 
179645,S. Kjær,32,Denmark,AC Milan,190cm,86kg,83,83,CB,€23.5M,€54K,3 
178750,Sergio Asenjo,32,Spain,Villarreal CF,189cm,87kg,83,83,GK,€18M,€37K,2 
177413,A. Witsel,32,Belgium,Borussia Dortmund,186cm,81kg,83,83,CDM,€24M,€72K,3 
169416,C. Vela,32,Mexico,Los Angeles FC,177cm,77kg,83,83,RW,€29M,€17K,3 
135507,Fernandinho,36,Brazil,Manchester City,179cm,67kg,83,83,CDM,€7M,€100K,3 
244260,Dani Olmo,23,Spain,RB Leipzig,179cm,72kg,82,87,CAM,€46M,€78K,3 
241671,D. Livaković,26,Croatia,Dinamo Zagreb,187cm,79kg,82,87,GK,€35M,€1K,2 
241464,Pau Torres,24,Spain,Villarreal CF,191cm,80kg,82,89,CB,€56.5M,€35K,2 
241461,Ferran Torres,21,Spain,Manchester City,184cm,77kg,82,90,CAM,€68.5M,€120K,1 
240130,Éder Militão,23,Brazil,Real Madrid CF,186cm,78kg,82,89,CB,€56.5M,€130K,2 
236792,T. Souček,26,Czech Republic,West Ham United,192cm,86kg,82,85,CDM,€36M,€81K,1 
235569,T. Ndombele,24,France,Tottenham Hotspur,179cm,76kg,82,89,CAM,€61M,€95K,1 
235410,Y. En-Nesyri,24,Morocco,Sevilla FC,188cm,78kg,82,86,ST,€44M,€37K,2 
234943,F. Neuhaus,24,Germany,Borussia Mönchengladbach,185cm,74kg,82,87,CM,€46M,€36K,2 
234396,A. Davies,20,Canada,FC Bayern München,183cm,75kg,82,89,LB,€57M,€59K,3 
234378,D. Rice,22,England,West Ham United,185cm,80kg,82,87,CDM,€43M,€69K,1 
233731,A. Isak,21,Sweden,Real Sociedad,192cm,77kg,82,86,ST,€45M,€37K,2 
233419,Raphinha,24,Brazil,Leeds United,176cm,68kg,82,87,LM,€46M,€89K,2 
233096,D. Dumfries,25,Netherlands,PSV,188cm,80kg,82,84,RB,€35M,€24K,3 
232488,C. Romero,23,Argentina,Tottenham Hotspur,185cm,79kg,82,87,CB,€41.5M,€51K,3 
231943,Richarlison,24,Brazil,Everton,181cm,71kg,82,87,ST,€46.5M,€100K,3 
230869,Unai Simón,24,Spain,Athletic Club de Bilbao,190cm,89kg,82,86,GK,€34.5M,€24K,3 
230375,Josué Chiamulera,29,Brazil,Grêmio,185cm,80kg,82,82,CB,€25.5M,€41K,1 
230168,Raphaelinho Anjos,33,Brazil,RB Bragantino,190cm,85kg,82,82,GK,€10M,€20K,1 
229984,B. Chilwell,24,England,Chelsea,178cm,77kg,82,86,LWB,€40.5M,€100K,2 
229906,L. Bailey,23,Jamaica,Aston Villa,178cm,77kg,82,85,LM,€41.5M,€75K,3 
229668,Mario Hermoso,26,Spain,Atlético de Madrid,185cm,76kg,82,85,CB,€35.5M,€62K,1 
229558,D. Upamecano,22,France,FC Bayern München,186cm,90kg,82,90,CB,€64M,€70K,2 
229391,Palhinha,25,Portugal,Sporting CP,190cm,82kg,82,87,CB,€41M,€18K,1 
227796,C. Pulisic,22,United States,Chelsea,177cm,69kg,82,88,RM,€49M,€120K,3 
226271,Fabián,25,Spain,Napoli,189cm,70kg,82,86,CM,€42M,€77K,2 
225100,J. Gomez,24,England,Liverpool,188cm,77kg,82,88,CB,€43.5M,€100K,2 
224458,Diogo Jota,24,Portugal,Liverpool,178cm,73kg,82,87,ST,€46M,€120K,2 
224293,Rúben Neves,24,Portugal,Wolverhampton Wanderers,180cm,80kg,82,87,CM,€46M,€89K,2 
222665,M. Ødegaard,22,Norway,Real Madrid CF,178cm,68kg,82,88,CAM,€49M,€145K,3 
222077,M. Locatelli,23,Italy,U.S. Sassuolo Calcio,185cm,75kg,82,88,CM,€44M,€37K,2 
220697,J. Maddison,24,England,Leicester City,175cm,73kg,82,85,CAM,€41.5M,€100K,1 
220440,C. Lenglet,26,France,FC Barcelona,186cm,81kg,82,86,CB,€37.5M,€145K,2 
220018,A. Rebić,27,Croatia,AC Milan,185cm,78kg,82,82,LM,€32.5M,€54K,1 
219693,Diego Carlos,28,Brazil,Sevilla FC,185cm,86kg,82,84,CB,€30.5M,€37K,2 
216547,Rafa,28,Portugal,SL Benfica,170cm,63kg,82,82,RM,€30.5M,€22K,2 
212616,R. De Paul,27,Argentina,Atlético de Madrid,180cm,70kg,82,83,CM,€35M,€68K,1 
212523,Anderson Talisca,27,Brazil,Al Nassr,190cm,80kg,82,83,CAM,€35.5M,€61K,2 
212462,Alex Telles,28,Brazil,Manchester United,181cm,71kg,82,82,LB,€27.5M,€130K,3 
212190,N. Süle,25,Germany,FC Bayern München,195cm,99kg,82,87,CB,€40.5M,€78K,3 
211515,P. Gollini,26,Italy,Tottenham Hotspur,194cm,94kg,82,87,GK,€35M,€48K,2 
211256,N. Tagliafico,28,Argentina,Ajax,172cm,65kg,82,82,LB,€27.5M,€24K,3 
210935,D. Berardi,26,Italy,U.S. Sassuolo Calcio,183cm,72kg,82,82,RW,€33.5M,€51K,2 
210413,A. Romagnoli,26,Italy,AC Milan,185cm,75kg,82,85,CB,€35.5M,€49K,2 
210035,Grimaldo,25,Spain,SL Benfica,171cm,69kg,82,85,CM,€37M,€18K,3 
209981,Y. Bounou,30,Morocco,Sevilla FC,192cm,78kg,82,82,GK,€20.5M,€29K,1 
208461,M. de Roon,30,Netherlands,Atalanta,185cm,76kg,82,82,CDM,€25.5M,€59K,3 
208421,Saúl,26,Spain,Atlético de Madrid,184cm,75kg,82,85,CM,€39.5M,€68K,3 
208333,E. Can,27,Germany,Borussia Dortmund,186cm,86kg,82,83,CDM,€35M,€72K,3 
208128,H. Çalhanoğlu,27,Turkey,Inter,178cm,76kg,82,83,CAM,€35M,€115K,3 
205070,Portu,29,Spain,Real Sociedad,167cm,66kg,82,82,RW,€30M,€51K,1 
205069,Juan Bernat,28,Spain,Paris Saint-Germain,170cm,67kg,82,82,LB,€27.5M,€90K,2 
203486,T. Hazard,28,Belgium,Borussia Dortmund,175cm,71kg,82,82,LM,€30.5M,€75K,2 
202651,Suso,27,Spain,Sevilla FC,176cm,70kg,82,82,RW,€32.5M,€42K,2 
201305,Gabriel Paulista,30,Brazil,Valencia CF,185cm,72kg,82,82,CB,€25M,€44K,2 
199823,Campaña,28,Spain,Levante Unión Deportiva,179cm,70kg,82,82,CM,€30.5M,€43K,1 
199482,A. Lopes,30,Portugal,Olympique Lyonnais,184cm,81kg,82,83,GK,€23M,€60K,2 
199110,L. Muriel,30,Colombia,Atalanta,179cm,79kg,82,82,CF,€30M,€70K,2 
198717,W. Zaha,28,Côte d'Ivoire,Crystal Palace,180cm,66kg,82,82,CF,€31M,€85K,2 
197781,Isco,29,Spain,Real Madrid CF,176cm,79kg,82,82,CAM,€30M,€175K,3 
194404,Neto,31,Brazil,FC Barcelona,190cm,84kg,82,82,GK,€16M,€115K,2 
193698,O. Baumann,31,Germany,TSG Hoffenheim,187cm,82kg,82,82,GK,€16M,€37K,2 
193525,Mário Fernandes,30,Russia,PFC CSKA Moscow,187cm,80kg,82,82,RB,€26.5M,€57K,2 
193474,I. Gueye,31,Senegal,Paris Saint-Germain,174cm,66kg,82,82,CDM,€21.5M,€88K,2 
193301,A. Lacazette,30,France,Arsenal,176cm,77kg,82,82,ST,€30M,€110K,3 
193165,J. Corona,28,Mexico,FC Porto,173cm,66kg,82,82,RM,€30.5M,€22K,3 
193105,A. Areola,28,France,West Ham United,195cm,94kg,82,84,GK,€26M,€75K,2 
192318,M. Götze,29,Germany,PSV,177cm,71kg,82,82,CAM,€30M,€29K,4 
190815,D. Blind,31,Netherlands,Ajax,180cm,72kg,82,82,CB,€21M,€23K,3 
190460,C. Eriksen,29,Denmark,Inter,181cm,76kg,82,82,CM,€29.5M,€120K,3 
189242,Coutinho,29,Brazil,FC Barcelona,172cm,68kg,82,82,CAM,€30M,€165K,4 
188943,K. Trapp,30,Germany,Eintracht Frankfurt,189cm,88kg,82,82,GK,€20.5M,€31K,3 
